Nationality;Position;Player;Club;Age;Caps;Overall
Ecuador;Goalkeeper;Hernan Galindez;Aucas;35;12;NA
Ecuador;Defender;Felix Torres;Santos Laguna;25;17;71
Ecuador;Defender;Robert Arboleda;Sao Paulo;31;33;NA
Ecuador;Midfielder;Ayrton Preciado;Santos Laguna;28;27;72
Ecuador;Midfielder;Romario Ibarra;Pachuca;28;25;69
Ecuador;Forward;Michael Estrada;Cruz Azul;26;36;68
Ecuador;Midfielder;Angel Mena;Leon;34;46;78
Ecuador;Goalkeeper;Alexander Dominguez;LDU Quito;35;68;70
Qatar;Defender;Ro-Ro;Al-Sadd;32;80;NA
Qatar;Midfielder;Naif Al-Hadhrami;Al-Rayyan;21;1;NA
Qatar;Midfielder;Jassem Gaber;Al-Arabi;20;0;NA
Qatar;Midfielder;Mostafa Meshaal;Al-Sadd;21;1;NA
Senegal;Defender;Moustapha Name;Pafos;27;6;71
IR Iran;Goalkeeper;Alireza Beiranvand;Persepolis;30;52;70
IR Iran;Defender;Shojae Khalilzadeh;Al-Ahli Doha;33;25;NA
IR Iran;Midfielder;Saeid Ezatolahi;Vejle;26;47;NA
IR Iran;Defender;Morteza Pouraliganji;Persepolis;30;46;NA
IR Iran;Forward;Karim Ansarifard;Omonia;32;94;72
IR Iran;Midfielder;Vahid Amiri;Persepolis;34;68;NA
IR Iran;Goalkeeper;Payam Niazmand;Sepahan;27;1;68
IR Iran;Defender;Hossein Kanaanizadegan;Al-Ahli Doha;28;35;NA
IR Iran;Defender;Rouzbeh Cheshmi;Esteghlal;29;19;NA
IR Iran;Midfielder;Mehdi Torabi;Persepolis;28;36;NA
IR Iran;Midfielder;Ahmad Nourollahi;Shabab Al-Ahli;29;25;NA
IR Iran;Defender;Ramin Rezaeian;Sepahan;32;46;NA
IR Iran;Goalkeeper;Hossein Hosseini;Esteghlal;30;6;NA
IR Iran;Defender;Abolfazl Jalali;Esteghlal;24;3;NA
