Nationality;Position;Player;Club;Age;Caps;Overall
IR Iran;Defender;Pejman Montazeri;Umm Salal;30;22;NA
IR Iran;Forward;Reza Ghoochannejhad;Charlton Athletic;26;14;68
IR Iran;Defender;Ahmad Alenemeh;Naft Tehran;31;9;NA
IR Iran;Midfielder;Bakhtiar Rahmani;Foolad;22;4;NA
IR Iran;Defender;Hashem Beikzadeh;Esteghlal;30;17;NA
IR Iran;Midfielder;Ashkan Dejagah;Fulham;27;14;74
IR Iran;Defender;Mehrdad Pooladi;Persepolis;27;20;NA
Nigeria;Defender;Joseph Yobo;Norwich City;33;97;74
Nigeria;Midfielder;Ejike Uzoenyi;Enugu Rangers;22;21;NA
Nigeria;Defender;Azubuike Egwuekwe;Warri Wolves;24;31;NA
Nigeria;Defender;Kunle Odunlami;Sunshine Stars;23;11;NA
Nigeria;Defender;Juwon Oshaniwa;Ashdod;23;10;NA
Nigeria;Goalkeeper;Austin Ejide;Hapoel Be'er Sheva;30;31;NA
Nigeria;Midfielder;Michael Babatunde;Volyn Lutsk;21;5;NA
Nigeria;Goalkeeper;Chigozie Agbim;Gombe United;29;11;NA
Germany;Defender;Kevin Gro?kreutz;Borussia Dortmund;25;5;NA
Ghana;Goalkeeper;Stephen Adams;Aduana Stars;24;7;NA
Ghana;Defender;Samuel Inkoom;Platanias;25;46;69
Ghana;Forward;Asamoah Gyan;Al Ain;28;79;NA
Ghana;Defender;Rashid Sumaila;Mamelodi Sundowns;21;6;NA
Ghana;Goalkeeper;Fatau Dauda;Orlando Pirates;29;18;71
Portugal;Goalkeeper;Eduardo;Braga;31;34;73
Portugal;Midfielder;Miguel Veloso;Dynamo Kyiv;28;49;80
Algeria;Goalkeeper;Cedric Si Mohamed;CS Constantine;29;1;NA
Algeria;Defender;Madjid Bougherra;Lekhwiya;31;62;NA
Algeria;Defender;Rafik Halliche;Academica de Coimbra;27;29;68
Algeria;Midfielder;Hassan Yebda;Udinese;30;25;71
Algeria;Forward;Hillal Soudani;Dinamo Zagreb;26;22;NA
Algeria;Goalkeeper;Mohamed Zemmamouche;USM Alger;29;7;NA
Algeria;Midfielder;Abdelmoumene Djabou;Club Africain;27;8;
Algeria;Goalkeeper;Rais M'Bolhi;CSKA Sofia;28;28;67
Belgium;Defender;Daniel Van Buyten;Bayern Munich;36;79;NA
Russia;Defender;Georgi Shchennikov;CSKA Moscow;23;4;NA
Russia;Defender;Andrei Semyonov;Terek Grozny;25;1;NA
Russia;Defender;Vasili Berezutski;CSKA Moscow;31;78;NA
Russia;Midfielder;Pavel Mogilevets;Rubin Kazan;21;1;68
Russia;Defender;Andrey Yeshchenko;Anzhi Makhachkala;30;12;NA
