Nationality;Position;Player;Club;Age;Caps;Overall
Nigeria;Goalkeeper;Ikechukwu Ezenwa;Enyimba;29;24;68
Nigeria;Forward;Simeon Nwankwo;Crotone;26;2;NA
Nigeria;Midfielder;John Ogu;Hapoel Be'er Sheva;30;20;72
Nigeria;Goalkeeper;Francis Uzoho;Deportivo La Coruna;19;6;68
Brazil;Defender;Miranda;Inter Milan;33;47;87
Brazil;Defender;Pedro Geromel;Gremio;32;2;NA
Brazil;Forward;Neymar;Paris Saint-Germain;26;85;93
Brazil;Goalkeeper;Cassio;Corinthians;31;1;77
Brazil;Defender;Fagner;Corinthians;29;4;77
Costa Rica;Defender;Jhonny Acosta;Aguilas Doradas;34;69;70
Costa Rica;Midfielder;Christian Bolanos;Saprissa;34;81;71
Costa Rica;Midfielder;Daniel Colindres;Saprissa;33;11;63
Costa Rica;Midfielder;Bryan Ruiz;Sporting CP;32;110;76
Costa Rica;Forward;Johan Venegas;Saprissa;29;47;68
Costa Rica;Midfielder;Randall Azofeifa;Herediano;33;58;71
Costa Rica;Midfielder;Yeltsin Tejeda;Lausanne;26;51;68
Costa Rica;Goalkeeper;Patrick Pemberton;Alajuelense;36;39;66
Costa Rica;Defender;Kendall Waston;Vancouver Whitecaps FC;30;26;74
Costa Rica;Forward;Marco Urena;Los Angeles FC;28;64;69
Costa Rica;Defender;Kenner Gutierrez;Alajuelense;29;9;63
Serbia;Goalkeeper;Vladimir Stojkovic;Partizan;34;81;74
Serbia;Defender;Antonio Rukavina;Villarreal;34;47;76
Serbia;Defender;Uros Spajic;Anderlecht;25;5;74
Serbia;Defender;Branislav Ivanovic;Zenit Saint Petersburg;34;103;82
Serbia;Goalkeeper;Predrag Rajkovic;Maccabi Tel Aviv;22;8;69
Serbia;Defender;Milan Rodic;Red Star Belgrade;27;1;69
Switzerland;Defender;Johan Djourou;Antalyaspor;31;74;75
Mexico;Defender;Rafael Marquez;Atlas;39;145;72
Panama;Goalkeeper;Jaime Penedo;Dinamo Bucure?ti;36;131;68
Panama;Defender;Fidel Escobar;New York Red Bulls;23;23;66
Panama;Forward;Blas Perez;Municipal;37;118;68
Panama;Forward;Gabriel Torres;Huachipato;29;72;69
Panama;Forward;Ismael Diaz;Deportivo Fabril;21;11;66
Panama;Midfielder;Armando Cooper;Universidad de Chile;30;98;68
Panama;Goalkeeper;Jose Calderon;Chorrillo;32;31;NA
Panama;Defender;Adolfo Machado;Houston Dynamo;33;76;72
Panama;Midfielder;Valentin Pimentel;Plaza Amador;27;23;67
Panama;Defender;Erick Davis;Dunajska Streda;27;38;NA
Panama;Forward;Abdiel Arroyo;Alajuelense;24;33;66
Panama;Defender;Luis Ovalle;CD Olimpia;29;25;NA
Panama;Forward;Luis Tejada;Sport Boys;36;105;67
Panama;Midfielder;Ricardo Avila;Gent;21;5;62
Panama;Midfielder;Jose Luis Rodriguez;Gent;19;2;60
Panama;Goalkeeper;Alex Rodriguez;San Francisco;27;6;62
Panama;Defender;Felipe Baloy;Municipal;37;102;69
Tunisia;Midfielder;Anice Badri;Esperance de Tunis;27;7;71
Tunisia;Defender;Ali Maaloul;Al Ahly;28;46;70
Tunisia;Midfielder;Ferjani Sassi;Al Nassr;26;39;69
Tunisia;Midfielder;Mohamed Amine Ben Amor;Al Ahli;26;26;72
Tunisia;Forward;Ahmed Khalil;Club Africain;23;3;68
Tunisia;Goalkeeper;Aymen Mathlouthi;Al Batin;33;70;73
Tunisia;Forward;Saber Khalifa;Club Africain;31;44;73
Tunisia;Forward;Ghailene Chaalali;Esperance de Tunis;24;6;NA
Tunisia;Defender;Hamdi Nagguez;Zamalek;25;15;72
Colombia;Midfielder;Abel Aguilar;Deportivo Cali;33;70;75
Senegal;Forward;Moussa Sow;Bursaspor;32;51;75
Senegal;Goalkeeper;Khadim N'Diaye;Horoya;33;26;69
