"Nationality";"Position";"Player";"Club";"Age";"Caps";"Overall"
"Egypt";"Goalkeeper";"essam el hadary";"al taawoun";45;158;NA
"Egypt";"Defender";"ahmed fathy";"al ahly";33;126;NA
"Egypt";"Defender";"saad samir";"al ahly";29;11;NA
"Russia";"Defender";"sergei ignashevich";"cska moscow";38;122;NA
"Russia";"Defender";"andrei semyonov";"akhmat grozny";29;6;NA
"Russia";"Midfielder";"daler kuzyayev";"zenit saint petersburg";25;6;NA
"Russia";"Midfielder";"yury gazinsky";"krasnodar";28;6;NA
"Russia";"Goalkeeper";"andrey lunyov";"zenit saint petersburg";26;3;NA
"Russia";"Defender";"vladimir granat";"rubin kazan";31;12;NA
"Russia";"Midfielder";"aleksandr samedov";"spartak moscow";33;48;NA
"Russia";"Goalkeeper";"vladimir gabulov";"club brugge";34;10;NA
"Russia";"Midfielder";"aleksandr yerokhin";"zenit saint petersburg";28;17;NA
"Russia";"Defender";"igor smolnikov";"zenit saint petersburg";29;27;NA
"Saudi Arabia";"Defender";"osama hawsawi";"al hilal";34;135;NA
"Saudi Arabia";"Defender";"ali al-bulaihi";"al hilal";28;4;NA
"Saudi Arabia";"Defender";"mohammed al-breik";"al hilal";25;11;NA
"Saudi Arabia";"Midfielder";"abdulmalek al-khaibri";"al hilal";32;36;NA
"Saudi Arabia";"Midfielder";"abdullah otayf";"al hilal";25;16;NA
"Saudi Arabia";"Midfielder";"housain al-mogahwi";"al ahli";30;18;NA
"Saudi Arabia";"Midfielder";"taisir al-jassim";"al ahli";33;132;NA
"Saudi Arabia";"Forward";"muhannad assiri";"al ahli";31;18;NA
"Uruguay";"Midfielder";"carlos sanchez";"monterrey";33;36;NA
"Uruguay";"Midfielder";"cristian rodriguez";"penarol";32;105;NA
"Uruguay";"Forward";"giorgian de arrascaeta";"cruzeiro";24;14;NA
"IR Iran";"Goalkeeper";"alireza beiranvand";"persepolis";25;22;NA
"IR Iran";"Midfielder";"mehdi torabi";"saipa";23;17;NA
"IR Iran";"Defender";"ehsan hajsafi";"olympiacos";28;94;NA
"IR Iran";"Midfielder";"rouzbeh cheshmi";"esteghlal";24;10;NA
"IR Iran";"Defender";"milad mohammadi";"akhmat grozny";24;19;NA
"IR Iran";"Midfielder";"masoud shojaei";"aek athens";34;74;NA
"IR Iran";"Defender";"morteza pouraliganji";"al sadd";26;27;NA
"IR Iran";"Midfielder";"omid ebrahimi";"esteghlal";30;30;NA
"IR Iran";"Goalkeeper";"mohammad rashid mazaheri";"zob ahan";29;3;NA
"IR Iran";"Defender";"mohammad reza khanzadeh";"padideh";27;11;NA
"IR Iran";"Forward";"saman ghoddos";"ostersund";24;8;NA
"IR Iran";"Defender";"pejman montazeri";"esteghlal";34;46;NA
"IR Iran";"Forward";"mehdi taremi";"al-gharafa";25;26;NA
"IR Iran";"Forward";"sardar azmoun";"rubin kazan";23;33;NA
"IR Iran";"Midfielder";"ashkan dejagah";"nottingham forest";31;46;NA
"IR Iran";"Defender";"ramin rezaeian";"oostende";28;28;NA
"Morocco";"Defender";"medhi benatia";"juventus";31;57;NA
"Morocco";"Forward";"khalid boutaib";"yeni malatyaspor";31;18;NA
