"Nationality";"Position";"Player";"Club";"Age";"Caps";"Overall"
"Cameroon";"Forward";"jean-pierre nsame";"young boys";29;4;NA
"Cameroon";"Forward";"eric maxim choupo-moting";"bayern munich";33;70;NA
"Cameroon";"Midfielder";"pierre kunde";"olympiacos";27;33;NA
"Cameroon";"Midfielder";"souaibou marou";"coton sport";21;3;NA
"Serbia";"Defender";"strahinja erakovic";"red star belgrade";21;2;NA
"Serbia";"Forward";"filip duricic";"sampdoria";30;37;NA
"Ghana";"Goalkeeper";"ibrahim danlad";"asante kotoko";19;4;NA
"Ghana";"Midfielder";"daniel afriyie";"hearts of oak";21;7;NA
"Uruguay";"Midfielder";"giorgian de arrascaeta";"flamengo";28;40;NA
"Uruguay";"Defender";"guillermo varela";"flamengo";29;9;NA
"Uruguay";"Midfielder";"agustin canobbio";"athletico paranaense";24;3;NA
