Nation,Position,Player,Club,Age,Caps
Egypt,Goalkeeper,Essam El Hadary,Al Taawoun,45,158
Egypt,Defender,Ali Gabr,West Bromwich Albion,29,21
Egypt,Defender,Ahmed Elmohamady,Aston Villa,30,78
Egypt,Midfielder,Omar Gaber,Los Angeles FC,26,24
Egypt,Midfielder,Sam Morsy,Wigan Athletic,26,5
Egypt,Defender,Ahmed Hegazi,West Bromwich Albion,27,45
Egypt,Defender,Ahmed Fathy,Al Ahly,33,126
Egypt,Midfielder,Tarek Hamed,Zamalek,29,21
Egypt,Forward,Marwan Mohsen,Al Ahly,29,24
Egypt,Forward,Mohamed Salah,Liverpool,25,57
Egypt,Forward,Kahraba,Al-Ittihad,24,19
Egypt,Defender,Ayman Ashraf,Al Ahly,27,4
Egypt,Defender,Mohamed Abdel Shafy,Al Fateh,32,51
Egypt,Forward,Ramadan Sobhi,Stoke City,21,23
Egypt,Defender,Mahmoud Hamdy,Zamalek,23,0
Egypt,Goalkeeper,Sherif Ekramy,Al Ahly,34,22
Egypt,Midfielder,Mohamed Elneny,Arsenal,25,61
Egypt,Forward,Shikabala,Al Raed,32,29
Egypt,Midfielder,Abdallah El Said,KuPS,32,36
Egypt,Defender,Saad Samir,Al Ahly,29,11
Egypt,Midfielder,Trézéguet,Kasımpaşa,23,24
Egypt,Forward,Amr Warda,Atromitos,24,16
Egypt,Goalkeeper,Mohamed El Shenawy,Al Ahly,29,3
Russia,Goalkeeper,Igor Akinfeev,CSKA Moscow,32,106
Russia,Defender,Mário Fernandes,CSKA Moscow,27,5
Russia,Defender,Ilya Kutepov,Spartak Moscow,24,7
Russia,Defender,Sergei Ignashevich,CSKA Moscow,38,122
Russia,Defender,Andrei Semyonov,Akhmat Grozny,29,6
Russia,Midfielder,Denis Cheryshev,Villarreal,27,11
Russia,Midfielder,Daler Kuzyayev,Zenit Saint Petersburg,25,6
Russia,Midfielder,Yury Gazinsky,Krasnodar,28,6
Russia,Midfielder,Alan Dzagoev,CSKA Moscow,27,57
Russia,Forward,Fyodor Smolov,Krasnodar,28,32
Russia,Midfielder,Roman Zobnin,Spartak Moscow,24,12
Russia,Goalkeeper,Andrey Lunyov,Zenit Saint Petersburg,26,3
Russia,Defender,Fyodor Kudryashov,Rubin Kazan,31,19
Russia,Defender,Vladimir Granat,Rubin Kazan,31,12
Russia,Midfielder,Aleksei Miranchuk,Lokomotiv Moscow,22,18
Russia,Midfielder,Anton Miranchuk,Lokomotiv Moscow,22,6
Russia,Midfielder,Aleksandr Golovin,CSKA Moscow,22,19
Russia,Midfielder,Yuri Zhirkov,Zenit Saint Petersburg,34,84
Russia,Midfielder,Aleksandr Samedov,Spartak Moscow,33,48
Russia,Goalkeeper,Vladimir Gabulov,Club Brugge,34,10
Russia,Midfielder,Aleksandr Yerokhin,Zenit Saint Petersburg,28,17
Russia,Forward,Artem Dzyuba,Arsenal Tula,29,23
Russia,Defender,Igor Smolnikov,Zenit Saint Petersburg,29,27
Saudi Arabia,Goalkeeper,Abdullah Al-Mayouf,Al Hilal,31,11
Saudi Arabia,Defender,Mansoor Al-Harbi,Al Ahli,30,40
Saudi Arabia,Defender,Osama Hawsawi,Al Hilal,34,135
Saudi Arabia,Defender,Ali Al-Bulaihi,Al Hilal,28,4
Saudi Arabia,Defender,Omar Hawsawi,Al Nassr,32,42
Saudi Arabia,Defender,Mohammed Al-Breik,Al Hilal,25,11
Saudi Arabia,Midfielder,Salman Al-Faraj,Al Hilal,28,43
Saudi Arabia,Midfielder,Yahya Al-Shehri,Leganés,27,57
Saudi Arabia,Midfielder,Hattan Bahebri,Al Shabab,25,5
Saudi Arabia,Forward,Mohammad Al-Sahlawi,Al Nassr,31,40
