Nation,Position,Player,Club,Age,Caps
Costa Rica,Goalkeeper,Álvaro Mesén,Herediano,33,38
Costa Rica,Defender,Jervis Drummond,Saprissa,29,56
Costa Rica,Defender,Luis Marín,Alajuelense,31,120
Costa Rica,Defender,Michael Umaña,Brujas,23,18
Costa Rica,Defender,Gilberto Martínez,Brescia,26,57
Costa Rica,Midfielder,Danny Fonseca,Cartaginés,26,22
Costa Rica,Midfielder,Christian Bolaños,Saprissa,22,16
Costa Rica,Midfielder,Mauricio Solís,Comunicaciones,33,107
Costa Rica,Forward,Paulo Wanchope,Herediano,29,69
Costa Rica,Midfielder,Walter Centeno,Saprissa,31,93
Costa Rica,Forward,Rónald Gómez,Saprissa,31,80
Costa Rica,Defender,Leonardo González,Herediano,25,36
Costa Rica,Forward,Kurt Bernard,Puntarenas,28,3
Costa Rica,Midfielder,Randall Azofeifa,Saprissa,21,5
Costa Rica,Defender,Harold Wallace,Alajuelense,30,78
Costa Rica,Midfielder,Carlos Hernández,Alajuelense,24,17
Costa Rica,Defender,Gabriel Badilla,Saprissa,21,7
Costa Rica,Goalkeeper,José Francisco Porras,Saprissa,35,16
Costa Rica,Forward,Álvaro Saborío,Saprissa,24,23
Costa Rica,Midfielder,Douglas Sequeira,Real Salt Lake,28,29
Costa Rica,Forward,Víctor Núñez,Cartaginés,26,3
Costa Rica,Defender,Michael Rodríguez,Alajuelense,24,3
Costa Rica,Goalkeeper,Wardy Alfaro,Alajuelense,28,2
Ecuador,Goalkeeper,Edwin Villafuerte,Deportivo Quito,27,15
Ecuador,Defender,Jorge Guagua,El Nacional,24,18
Ecuador,Defender,Iván Hurtado,Al-Arabi,31,130
Ecuador,Defender,Ulises de la Cruz,Aston Villa,32,84
Ecuador,Defender,José Luis Perlaza,Olmedo,24,3
Ecuador,Midfielder,Patricio Urrutia,LDU Quito,27,6
Ecuador,Midfielder,Christian Lara,El Nacional,26,19
Ecuador,Midfielder,Edison Méndez,LDU Quito,27,64
Ecuador,Forward,Félix Borja,El Nacional,23,6
Ecuador,Forward,Iván Kaviedes,Argentinos Juniors,28,44
Ecuador,Forward,Agustín Delgado,LDU Quito,31,68
Ecuador,Goalkeeper,Cristian Mora,LDU Quito,26,8
Ecuador,Defender,Paúl Ambrosi,LDU Quito,25,24
Ecuador,Midfielder,Segundo Castillo,El Nacional,24,11
Ecuador,Midfielder,Marlon Ayoví,Deportivo Quito,34,74
Ecuador,Midfielder,Antonio Valencia,Recreativo,20,17
Ecuador,Defender,Giovanny Espinoza,LDU Quito,29,56
Ecuador,Defender,Néicer Reasco,LDU Quito,28,31
Ecuador,Midfielder,Luis Saritama,Deportivo Quito,22,15
Ecuador,Midfielder,Edwin Tenorio,Barcelona SC,29,68
Ecuador,Forward,Carlos Tenorio,Al Sadd,27,29
Ecuador,Goalkeeper,Damián Lanza,Aucas,24,5
Ecuador,Forward,Christian Benítez,El Nacional,20,5
Germany,Goalkeeper,Jens Lehmann,Arsenal,36,32
Germany,Defender,Marcell Jansen,Borussia Mönchengladbach,20,7
Germany,Defender,Arne Friedrich,Hertha BSC,27,36
Germany,Defender,Robert Huth,Chelsea,21,16
Germany,Midfielder,Sebastian Kehl,Borussia Dortmund,26,27
Germany,Defender,Jens Nowotny,Bayer Leverkusen,32,46
Germany,Midfielder,Bastian Schweinsteiger,Bayern Munich,21,28
Germany,Midfielder,Torsten Frings,Werder Bremen,29,52
Germany,Forward,Mike Hanke,VfL Wolfsburg,22,6
Germany,Forward,Oliver Neuville,Borussia Mönchengladbach,33,55
Germany,Forward,Miroslav Klose,Werder Bremen,28,55
Germany,Goalkeeper,Oliver Kahn,Bayern Munich,36,85
Germany,Midfielder,Michael Ballack,Bayern Munich,29,65
Germany,Forward,Gerald Asamoah,Schalke 04,27,40
Germany,Midfielder,Thomas Hitzlsperger,VfB Stuttgart,24,15
Germany,Defender,Philipp Lahm,Bayern Munich,22,18
Germany,Defender,Per Mertesacker,Hannover 96,21,23
Germany,Midfielder,Tim Borowski,Werder Bremen,26,20
Germany,Midfielder,Bernd Schneider,Bayer Leverkusen,32,64
Germany,Forward,Lukas Podolski,1. FC Köln,21,25
Germany,Defender,Christoph Metzelder,Borussia Dortmund,25,22
Germany,Midfielder,David Odonkor,Borussia Dortmund,22,1
Germany,Goalkeeper,Timo Hildebrand,VfB Stuttgart,27,3
Poland,Goalkeeper,Artur Boruc,Celtic,26,17
Poland,Defender,Mariusz Jop,FC Moscow,27,12
Poland,Defender,Seweryn Gancarczyk,Metalist Kharkiv,24,2
Poland,Defender,Marcin Baszczyński,Wisła Kraków,29,32
Poland,Midfielder,Kamil Kosowski,1. FC Kaiserslautern,28,45
Poland,Defender,Jacek Bąk,Al-Rayyan,33,72
Poland,Midfielder,Radosław Sobolewski,Wisła Kraków,29,19
Poland,Midfielder,Jacek Krzynówek,Bayer Leverkusen,30,58
Poland,Forward,Maciej Żurawski,Celtic,29,50
Poland,Midfielder,Mirosław Szymkowiak,Trabzonspor,29,29
Poland,Forward,Grzegorz Rasiak,Tottenham Hotspur,27,30
Poland,Goalkeeper,Tomasz Kuszczak,West Bromwich Albion,24,4
Poland,Midfielder,Sebastian Mila,Austria Wien,23,27
Poland,Defender,Michał Żewłakow,Anderlecht,30,56
Poland,Forward,Euzebiusz Smolarek,Borussia Dortmund,25,13
