Nation,Position,Player,Club,Age,Caps
Qatar,Goalkeeper,Saad Al-Sheeb,Al-Sadd,32,76
Qatar,Defender,Ró-Ró,Al-Sadd,32,80
Qatar,Midfielder,Abdelkarim Hassan,Al-Sadd,29,130
Qatar,Defender,Mohammed Waad,Al-Sadd,23,21
Qatar,Defender,Tarek Salman,Al-Sadd,24,58
Qatar,Midfielder,Abdulaziz Hatem,Al-Rayyan,32,107
Qatar,Forward,Ahmed Alaaeldin,Al-Gharafa,29,47
Qatar,Midfielder,Ali Assadalla,Al-Sadd,29,59
Qatar,Forward,Mohammed Muntari,Al-Duhail,28,48
Qatar,Midfielder,Hassan Al-Haydos,Al-Sadd,31,169
Qatar,Forward,Akram Afif,Al-Sadd,26,89
Qatar,Midfielder,Karim Boudiaf,Al-Duhail,32,115
Qatar,Defender,Musab Kheder,Al-Sadd,29,30
Qatar,Defender,Homam Ahmed,Al-Gharafa,23,29
Qatar,Defender,Bassam Al-Rawi,Al-Duhail,24,58
Qatar,Defender,Boualem Khoukhi,Al-Sadd,32,105
Qatar,Defender,Ismaeel Mohammad,Al-Duhail,32,70
Qatar,Forward,Khalid Muneer,Al-Wakrah,24,2
Qatar,Forward,Almoez Ali,Al-Duhail,26,85
Qatar,Midfielder,Salem Al-Hajri,Al-Sadd,26,22
Qatar,Goalkeeper,Yousef Hassan,Al-Gharafa,26,7
Qatar,Goalkeeper,Meshaal Barsham,Al-Sadd,24,20
Qatar,Midfielder,Assim Madibo,Al-Duhail,26,43
Qatar,Midfielder,Naif Al-Hadhrami,Al-Rayyan,21,1
Qatar,Midfielder,Jassem Gaber,Al-Arabi,20,0
Qatar,Midfielder,Mostafa Meshaal,Al-Sadd,21,1
Senegal,Goalkeeper,Seny Dieng,Queens Park Rangers,27,4
Senegal,Defender,Formose Mendy,Amiens,21,2
Senegal,Defender,Kalidou Koulibaly,Chelsea,31,64
Senegal,Defender,Pape Abou Cissé,Olympiacos,27,13
Senegal,Midfielder,Idrissa Gueye,Everton,33,96
Senegal,Midfielder,Nampalys Mendy,Leicester City,30,19
Senegal,Forward,Nicolas Jackson,Villarreal,21,0
Senegal,Defender,Cheikhou Kouyaté,Nottingham Forest,32,83
Senegal,Forward,Boulaye Dia,Salernitana,26,19
Senegal,Defender,Moussa N'Diaye,Anderlecht,20,0
Senegal,Midfielder,Pathé Ciss,Rayo Vallecano,28,1
Senegal,Defender,Fodé Ballo-Touré,Milan,25,14
Senegal,Forward,Iliman Ndiaye,Sheffield United,22,2
Senegal,Defender,Ismail Jakobs,Monaco,23,2
Senegal,Midfielder,Krépin Diatta,Monaco,23,26
Senegal,Goalkeeper,Édouard Mendy,Chelsea,30,25
Senegal,Midfielder,Pape Matar Sarr,Tottenham Hotspur,20,10
Senegal,Forward,Ismaïla Sarr,Watford,24,48
Senegal,Forward,Famara Diédhiou,Alanyaspor,29,25
Senegal,Forward,Bamba Dieng,Marseille,22,13
Senegal,Defender,Youssouf Sabaly,Real Betis,29,24
Senegal,Defender,Abdou Diallo,RB Leipzig,26,18
Senegal,Goalkeeper,Alfred Gomis,Rennes,29,13
Senegal,Defender,Moustapha Name,Pafos,27,6
Senegal,Midfielder,Mamadou Loum,Reading,25,3
Senegal,Midfielder,Pape Gueye,Marseille,23,12
England,Goalkeeper,Jordan Pickford,Everton,28,45
England,Defender,Kyle Walker,Manchester City,32,70
England,Defender,Luke Shaw,Manchester United,27,23
England,Midfielder,Declan Rice,West Ham United,23,34
England,Defender,John Stones,Manchester City,28,59
England,Defender,Harry Maguire,Manchester United,29,48
England,Forward,Jack Grealish,Manchester City,27,24
England,Midfielder,Jordan Henderson,Liverpool,32,70
England,Forward,Harry Kane,Tottenham Hotspur,29,75
England,Forward,Raheem Sterling,Chelsea,27,79
England,Forward,Marcus Rashford,Manchester United,25,46
England,Defender,Kieran Trippier,Newcastle United,32,37
England,Goalkeeper,Nick Pope,Newcastle United,30,10
England,Midfielder,Kalvin Phillips,Manchester City,26,23
England,Defender,Eric Dier,Tottenham Hotspur,28,47
England,Defender,Conor Coady,Everton,29,10
England,Forward,Bukayo Saka,Arsenal,21,20
England,Defender,Trent Alexander-Arnold,Liverpool,24,17
England,Midfielder,Mason Mount,Chelsea,23,32
England,Midfielder,Phil Foden,Manchester City,22,18
England,Defender,Ben White,Arsenal,25,4
England,Midfielder,Jude Bellingham,Borussia Dortmund,19,17
England,Goalkeeper,Aaron Ramsdale,Arsenal,24,3
England,Forward,Callum Wilson,Newcastle United,30,4
England,Midfielder,James Maddison,Leicester City,25,1
England,Midfielder,Conor Gallagher,Chelsea,22,4
Iran,Goalkeeper,Alireza Beiranvand,Persepolis,30,52
Iran,Defender,Sadegh Moharrami,Dinamo Zagreb,26,21
Iran,Defender,Ehsan Hajsafi,AEK Athens,32,121
Iran,Defender,Shojae Khalilzadeh,Al-Ahli Doha,33,25
Iran,Defender,Milad Mohammadi,AEK Athens,29,45
Iran,Midfielder,Saeid Ezatolahi,Vejle,26,47
Iran,Midfielder,Alireza Jahanbakhsh,Feyenoord,29,64
Iran,Defender,Morteza Pouraliganji,Persepolis,30,46
Iran,Forward,Mehdi Taremi,Porto,30,60
Iran,Forward,Karim Ansarifard,Omonia,32,94
Iran,Midfielder,Vahid Amiri,Persepolis,34,68
Iran,Goalkeeper,Payam Niazmand,Sepahan,27,1
Iran,Defender,Hossein Kanaanizadegan,Al-Ahli Doha,28,35
Iran,Midfielder,Saman Ghoddos,Brentford,29,33
Iran,Defender,Rouzbeh Cheshmi,Esteghlal,29,19
Iran,Midfielder,Mehdi Torabi,Persepolis,28,36
Iran,Midfielder,Ali Gholizadeh,Charleroi,26,26
Iran,Midfielder,Ali Karimi,Kayserispor,28,13
Iran,Defender,Majid Hosseini,Kayserispor,26,18
Iran,Forward,Sardar Azmoun,Bayer Leverkusen,27,65
Iran,Midfielder,Ahmad Nourollahi,Shabab Al-Ahli,29,25
Iran,Goalkeeper,Amir Abedzadeh,Ponferradina,29,11
Iran,Defender,Ramin Rezaeian,Sepahan,32,46
Iran,Goalkeeper,Hossein Hosseini,Esteghlal,30,6
Iran,Defender,Abolfazl Jalali,Esteghlal,24,3
United States,Goalkeeper,Matt Turner,Arsenal,28,20
United States,Defender,Sergiño Dest,Milan,22,19
United States,Defender,Walker Zimmerman,Nashville SC,29,33
United States,Midfielder,Tyler Adams,Leeds United,23,32
United States,Defender,Antonee Robinson,Fulham,25,29
United States,Midfielder,Yunus Musah,Valencia,19,19
United States,Forward,Giovanni Reyna,Borussia Dortmund,20,14
United States,Midfielder,Weston McKennie,Juventus,24,37
United States,Forward,Jesús Ferreira,FC Dallas,21,15
United States,Forward,Christian Pulisic,Chelsea,24,52
United States,Forward,Brenden Aaronson,Leeds United,22,24
United States,Goalkeeper,Ethan Horvath,Luton Town,27,8
United States,Defender,Tim Ream,Fulham,35,46
United States,Midfielder,Luca de la Torre,Celta Vigo,24,12
United States,Defender,Aaron Long,New York Red Bulls,30,29
United States,Forward,Jordan Morris,Seattle Sounders FC,28,49
United States,Midfielder,Cristian Roldan,Seattle Sounders FC,27,32
United States,Defender,Shaq Moore,Nashville SC,26,15
United States,Forward,Haji Wright,Antalyaspor,24,3
United States,Defender,Cameron Carter-Vickers,Celtic,24,11
United States,Forward,Timothy Weah,Lille,22,25
United States,Defender,DeAndre Yedlin,Inter Miami CF,29,75
United States,Midfielder,Kellyn Acosta,Los Angeles FC,27,53
United States,Forward,Josh Sargent,Norwich City,22,20
United States,Goalkeeper,Sean Johnson,New York City FC,33,10
United States,Defender,Joe Scally,Borussia Mönchengladbach,19,3
Wales,Goalkeeper,Wayne Hennessey,Nottingham Forest,35,106
Wales,Defender,Chris Gunter,AFC Wimbledon,33,109
Wales,Defender,Neco Williams,Nottingham Forest,21,23
Wales,Defender,Ben Davies,Tottenham Hotspur,29,74
Wales,Defender,Chris Mepham,Bournemouth,25,33
Wales,Defender,Joe Rodon,Rennes,25,30
Wales,Midfielder,Joe Allen,Swansea City,32,72
Wales,Midfielder,Harry Wilson,Fulham,25,39
Wales,Forward,Brennan Johnson,Nottingham Forest,21,15
Wales,Midfielder,Aaron Ramsey,Nice,31,75
Wales,Forward,Gareth Bale,Los Angeles FC,33,108
Wales,Goalkeeper,Danny Ward,Leicester City,29,26
Wales,Forward,Kieffer Moore,Bournemouth,30,28
Wales,Defender,Connor Roberts,Burnley,27,41
Wales,Defender,Ethan Ampadu,Spezia,22,37
Wales,Midfielder,Joe Morrell,Portsmouth,25,30
Wales,Defender,Tom Lockyer,Luton Town,27,14
Wales,Midfielder,Jonny Williams,Swindon Town,29,33
Wales,Forward,Mark Harris,Cardiff City,23,5
Wales,Forward,Daniel James,Fulham,25,38
Wales,Goalkeeper,Adam Davies,Sheffield United,30,4
Wales,Midfielder,Sorba Thomas,Huddersfield Town,23,6
Wales,Midfielder,Dylan Levitt,Dundee United,22,13
Wales,Defender,Ben Cabango,Swansea City,22,5
Wales,Midfielder,Rubin Colwill,Cardiff City,20,7
Wales,Midfielder,Matthew Smith,Milton Keynes Dons,22,19
Argentina,Goalkeeper,Franco Armani,River Plate,36,18
Argentina,Defender,Juan Foyth,Villarreal,24,16
Argentina,Defender,Nicolás Tagliafico,Lyon,30,42
Argentina,Defender,Gonzalo Montiel,Sevilla,25,18
Argentina,Midfielder,Leandro Paredes,Juventus,28,46
Argentina,Defender,Germán Pezzella,Real Betis,31,32
Argentina,Midfielder,Rodrigo De Paul,Atlético Madrid,28,44
Argentina,Midfielder,Marcos Acuña,Sevilla,31,43
Argentina,Forward,Julián Álvarez,Manchester City,22,12
Argentina,Forward,Lionel Messi,Paris Saint-Germain,35,165
Argentina,Forward,Ángel Di María,Juventus,34,124
Argentina,Goalkeeper,Gerónimo Rulli,Villarreal,30,4
Argentina,Defender,Cristian Romero,Tottenham Hotspur,24,12
Argentina,Midfielder,Exequiel Palacios,Bayer Leverkusen,24,20
Argentina,Forward,Ángel Correa,Atlético Madrid,27,22
Argentina,Midfielder,Thiago Almada,Atlanta United FC,21,1
Argentina,Midfielder,Papu Gómez,Sevilla,34,15
Argentina,Midfielder,Guido Rodríguez,Real Betis,28,26
Argentina,Defender,Nicolás Otamendi,Benfica,34,93
Argentina,Midfielder,Alexis Mac Allister,Brighton & Hove Albion,23,8
Argentina,Forward,Paulo Dybala,Roma,29,34
Argentina,Forward,Lautaro Martínez,Internazionale,25,40
Argentina,Goalkeeper,Emiliano Martínez,Aston Villa,30,19
Argentina,Midfielder,Enzo Fernández,Benfica,21,3
Argentina,Defender,Lisandro Martínez,Manchester United,24,10
Argentina,Defender,Nahuel Molina,Atlético Madrid,24,20
Mexico,Goalkeeper,Alfredo Talavera,Juárez,40,40
Mexico,Defender,Néstor Araujo,América,31,63
Mexico,Defender,César Montes,Monterrey,25,30
Mexico,Defender,Edson Álvarez,Ajax,25,58
Mexico,Defender,Johan Vásquez,Cremonese,24,7
Mexico,Defender,Gerardo Arteaga,Genk,24,17
Mexico,Midfielder,Luis Romo,Monterrey,27,27
Mexico,Midfielder,Carlos Rodríguez,Cruz Azul,25,36
Mexico,Forward,Raúl Jiménez,Wolverhampton Wanderers,31,95
Mexico,Forward,Alexis Vega,Guadalajara,24,22
Mexico,Forward,Rogelio Funes Mori,Monterrey,31,16
Mexico,Goalkeeper,Rodolfo Cota,León,35,8
Mexico,Goalkeeper,Guillermo Ochoa,América,37,131
Mexico,Midfielder,Érick Gutiérrez,PSV Eindhoven,27,34
Mexico,Defender,Héctor Moreno,Monterrey,34,128
Mexico,Midfielder,Héctor Herrera,Houston Dynamo FC,32,102
Mexico,Forward,Orbelín Pineda,AEK Athens,26,50
Mexico,Midfielder,Andrés Guardado,Real Betis,36,178
Mexico,Defender,Jorge Sánchez,Ajax,24,26
Mexico,Forward,Henry Martín,América,30,27
Mexico,Forward,Uriel Antuna,Cruz Azul,25,36
Mexico,Forward,Hirving Lozano,Napoli,27,60
Mexico,Defender,Jesús Gallardo,Monterrey,28,78
Mexico,Midfielder,Luis Chávez,Pachuca,26,9
Mexico,Forward,Roberto Alvarado,Guadalajara,24,31
Mexico,Defender,Kevin Álvarez,Pachuca,23,8
Poland,Goalkeeper,Wojciech Szczęsny,Juventus,32,66
Poland,Defender,Matty Cash,Aston Villa,25,7
Poland,Defender,Artur Jędrzejczyk,Legia Warsaw,35,40
Poland,Defender,Mateusz Wieteska,Clermont,25,2
Poland,Defender,Jan Bednarek,Aston Villa,26,45
Poland,Midfielder,Krystian Bielik,Birmingham City,24,5
Poland,Forward,Arkadiusz Milik,Juventus,28,64
Poland,Midfielder,Damian Szymański,AEK Athens,27,9
Poland,Forward,Robert Lewandowski,Barcelona,34,134
Poland,Midfielder,Grzegorz Krychowiak,Al-Shabab,32,94
Poland,Midfielder,Kamil Grosicki,Pogoń Szczecin,34,87
Poland,Goalkeeper,Łukasz Skorupski,Bologna,31,8
Poland,Midfielder,Jakub Kamiński,VfL Wolfsburg,20,4
Poland,Defender,Jakub Kiwior,Spezia,22,5
Poland,Defender,Kamil Glik,Benevento,34,99
Poland,Forward,Karol Świderski,Charlotte FC,25,18
Poland,Midfielder,Szymon Żurkowski,Fiorentina,25,7
Poland,Defender,Bartosz Bereszyński,Sampdoria,30,46
Poland,Midfielder,Sebastian Szymański,Feyenoord,23,18
Poland,Midfielder,Piotr Zieliński,Napoli,28,74
Poland,Midfielder,Nicola Zalewski,Roma,20,7
Poland,Goalkeeper,Kamil Grabara,Copenhagen,23,1
Poland,Forward,Krzysztof Piątek,Salernitana,27,25
Poland,Midfielder,Przemysław Frankowski,Lens,27,26
Poland,Defender,Robert Gumny,FC Augsburg,24,5
Poland,Midfielder,Michał Skóraś,Lech Poznań,22,1
Saudi Arabia,Goalkeeper,Mohammed Al-Rubaie,Al-Ahli,25,7
Saudi Arabia,Defender,Sultan Al-Ghannam,Al-Nassr,28,24
Saudi Arabia,Defender,Abdullah Madu,Al-Nassr,29,15
Saudi Arabia,Defender,Abdulelah Al-Amri,Al-Nassr,25,20
Saudi Arabia,Defender,Ali Al-Bulaihi,Al-Hilal,32,37
Saudi Arabia,Defender,Mohammed Al-Breik,Al-Hilal,30,40
Saudi Arabia,Midfielder,Salman Al-Faraj,Al-Hilal,33,70
Saudi Arabia,Midfielder,Abdulellah Al-Malki,Al-Hilal,28,27
Saudi Arabia,Forward,Firas Al-Buraikan,Al-Fateh,22,26
Saudi Arabia,Forward,Salem Al-Dawsari,Al-Hilal,31,71
Saudi Arabia,Forward,Saleh Al-Shehri,Al-Hilal,29,20
Saudi Arabia,Defender,Saud Abdulhamid,Al-Hilal,23,23
Saudi Arabia,Defender,Yasser Al-Shahrani,Al-Hilal,30,72
Saudi Arabia,Midfielder,Abdullah Otayf,Al-Hilal,30,45
Saudi Arabia,Midfielder,Ali Al-Hassan,Al-Nassr,25,13
Saudi Arabia,Midfielder,Sami Al-Najei,Al-Nassr,25,17
Saudi Arabia,Defender,Hassan Al-Tambakti,Al-Shabab,23,19
Saudi Arabia,Midfielder,Nawaf Al-Abed,Al-Shabab,32,55
Saudi Arabia,Forward,Hattan Bahebri,Al-Shabab,30,41
Saudi Arabia,Forward,Abdulrahman Al-Aboud,Al-Ittihad,27,3
Saudi Arabia,Goalkeeper,Mohammed Al-Owais,Al-Hilal,31,42
Saudi Arabia,Goalkeeper,Nawaf Al-Aqidi,Al-Nassr,22,0
Saudi Arabia,Midfielder,Mohamed Kanno,Al-Hilal,28,38
Saudi Arabia,Midfielder,Nasser Al-Dawsari,Al-Hilal,23,10
Saudi Arabia,Forward,Haitham Asiri,Al-Ahli,21,8
Saudi Arabia,Midfielder,Riyadh Sharahili,Abha,29,5
Australia,Goalkeeper,Mathew Ryan,Copenhagen,30,75
Australia,Defender,Miloš Degenek,Columbus Crew,28,38
Australia,Defender,Nathaniel Atkinson,Heart of Midlothian,23,5
Australia,Defender,Kye Rowles,Heart of Midlothian,24,3
Australia,Defender,Fran Karačić,Brescia,26,11
Australia,Forward,Marco Tilio,Melbourne City,21,5
Australia,Forward,Mathew Leckie,Melbourne City,31,73
Australia,Defender,Bailey Wright,Sunderland,30,27
Australia,Forward,Jamie Maclaren,Melbourne City,29,26
Australia,Midfielder,Ajdin Hrustic,Hellas Verona,26,20
Australia,Forward,Awer Mabil,Cádiz,27,29
Australia,Goalkeeper,Andrew Redmayne,Sydney FC,33,4
Australia,Midfielder,Aaron Mooy,Celtic,32,53
Australia,Midfielder,Riley McGree,Middlesbrough,24,11
Australia,Forward,Mitchell Duke,Fagiano Okayama,31,21
Australia,Defender,Aziz Behich,Dundee United,31,53
Australia,Midfielder,Cameron Devlin,Heart of Midlothian,24,1
Australia,Goalkeeper,Danny Vukovic,Central Coast Mariners,37,4
Australia,Defender,Harry Souttar,Stoke City,24,10
Australia,Defender,Thomas Deng,Albirex Niigata,25,2
Australia,Forward,Garang Kuol,Central Coast Mariners,18,1
Australia,Midfielder,Jackson Irvine,FC St. Pauli,29,49
Australia,Forward,Craig Goodwin,Adelaide United,30,10
Australia,Defender,Joel King,OB,22,4
Australia,Forward,Jason Cummings,Central Coast Mariners,27,1
Australia,Midfielder,Keanu Baccus,St Mirren,24,1
Denmark,Goalkeeper,Kasper Schmeichel,Nice,36,86
Denmark,Defender,Joachim Andersen,Crystal Palace,26,19
Denmark,Defender,Victor Nelsson,Galatasaray,24,7
Denmark,Defender,Simon Kjær,Milan,33,121
Denmark,Defender,Joakim Mæhle,Atalanta,25,31
Denmark,Defender,Andreas Christensen,Barcelona,26,58
Denmark,Midfielder,Mathias Jensen,Brentford,26,20
Denmark,Midfielder,Thomas Delaney,Sevilla,31,71
Denmark,Forward,Martin Braithwaite,Espanyol,31,62
Denmark,Midfielder,Christian Eriksen,Manchester United,30,117
Denmark,Midfielder,Andreas Skov Olsen,Club Brugge,22,23
Denmark,Forward,Kasper Dolberg,Sevilla,25,37
Denmark,Defender,Rasmus Kristensen,Leeds United,25,10
Denmark,Midfielder,Mikkel Damsgaard,Brentford,22,18
Denmark,Midfielder,Christian Nørgaard,Brentford,28,17
Denmark,Goalkeeper,Oliver Christensen,Hertha BSC,23,1
Denmark,Defender,Jens Stryger Larsen,Trabzonspor,31,49
Denmark,Defender,Daniel Wass,Brøndby,33,44
Denmark,Forward,Jonas Wind,VfL Wolfsburg,23,15
Denmark,Forward,Yussuf Poulsen,RB Leipzig,28,68
Denmark,Forward,Andreas Cornelius,Copenhagen,29,41
Denmark,Goalkeeper,Frederik Rønnow,Union Berlin,30,8
Denmark,Midfielder,Pierre-Emile Højbjerg,Tottenham Hotspur,27,60
Denmark,Midfielder,Robert Skov,1899 Hoffenheim,26,11
Denmark,Midfielder,Jesper Lindstrøm,Eintracht Frankfurt,22,6
Denmark,Defender,Alexander Bah,Benfica,24,4
France,Goalkeeper,Hugo Lloris,Tottenham Hotspur,35,139
France,Defender,Benjamin Pavard,Bayern Munich,26,46
France,Defender,Axel Disasi,Monaco,24,0
France,Defender,Raphaël Varane,Manchester United,29,87
France,Defender,Jules Koundé,Barcelona,24,12
France,Midfielder,Matteo Guendouzi,Marseille,23,6
France,Forward,Antoine Griezmann,Atlético Madrid,31,110
France,Midfielder,Aurélien Tchouaméni,Real Madrid,22,14
France,Forward,Olivier Giroud,Milan,36,114
France,Forward,Kylian Mbappé,Paris Saint-Germain,23,59
France,Forward,Ousmane Dembélé,Barcelona,25,28
France,Forward,Randal Kolo Muani,Eintracht Frankfurt,23,2
France,Midfielder,Youssouf Fofana,Monaco,23,2
France,Midfielder,Adrien Rabiot,Juventus,27,29
France,Midfielder,Jordan Veretout,Marseille,29,5
France,Goalkeeper,Steve Mandanda,Rennes,37,34
France,Defender,William Saliba,Arsenal,21,7
France,Defender,Dayot Upamecano,Bayern Munich,24,7
France,Forward,Karim Benzema,Real Madrid,34,97
France,Forward,Kingsley Coman,Bayern Munich,26,40
France,Defender,Lucas Hernandez,Bayern Munich,26,32
France,Defender,Theo Hernandez,Milan,25,7
France,Goalkeeper,Alphonse Areola,West Ham United,29,5
France,Defender,Ibrahima Konaté,Liverpool,23,2
France,Midfielder,Eduardo Camavinga,Real Madrid,20,4
France,Forward,Marcus Thuram,Borussia Mönchengladbach,25,4
Tunisia,Goalkeeper,Aymen Mathlouthi,Étoile du Sahel,38,73
Tunisia,Defender,Bilel Ifa,Kuwait SC,32,37
Tunisia,Defender,Montassar Talbi,Lorient,24,23
Tunisia,Defender,Yassine Meriah,Espérance de Tunis,29,61
Tunisia,Midfielder,Nader Ghandri,Club Africain,27,8
Tunisia,Defender,Dylan Bronn,Salernitana,27,36
Tunisia,Forward,Youssef Msakni,Al-Arabi,32,88
Tunisia,Midfielder,Hannibal Mejbri,Birmingham City,19,19
Tunisia,Forward,Issam Jebali,OB,30,10
Tunisia,Forward,Wahbi Khazri,Montpellier,31,72
Tunisia,Forward,Taha Yassine Khenissi,Kuwait SC,30,48
Tunisia,Defender,Ali Maâloul,Al Ahly,32,83
Tunisia,Midfielder,Ferjani Sassi,Al-Duhail,30,78
Tunisia,Midfielder,Aïssa Laïdouni,Ferencváros,25,25
Tunisia,Midfielder,Mohamed Ali Ben Romdhane,Espérance de Tunis,23,23
Tunisia,Goalkeeper,Aymen Dahmen,CS Sfaxien,25,5
Tunisia,Midfielder,Ellyes Skhiri,1. FC Köln,27,49
Tunisia,Midfielder,Ghailene Chaalali,Espérance de Tunis,28,31
Tunisia,Forward,Seifeddine Jaziri,Zamalek,29,29
Tunisia,Defender,Mohamed Dräger,Luzern,26,34
Tunisia,Defender,Wajdi Kechrida,Atromitos,27,19
Tunisia,Goalkeeper,Bechir Ben Saïd,US Monastir,29,10
Tunisia,Forward,Naïm Sliti,Al-Ettifaq,30,69
Tunisia,Defender,Ali Abdi,Caen,28,10
Tunisia,Forward,Anis Ben Slimane,Brøndby,21,25
Tunisia,Goalkeeper,Mouez Hassen,Club Africain,27,20
Costa Rica,Goalkeeper,Keylor Navas,Paris Saint-Germain,35,107
Costa Rica,Midfielder,Daniel Chacón,Cartaginés,21,8
Costa Rica,Defender,Juan Pablo Vargas,Millonarios,27,12
Costa Rica,Defender,Keysher Fuller,Herediano,28,31
Costa Rica,Midfielder,Celso Borges,Alajuelense,34,155
Costa Rica,Defender,Óscar Duarte,Al-Wehda,33,71
Costa Rica,Forward,Anthony Contreras,Herediano,22,9
Costa Rica,Defender,Bryan Oviedo,Real Salt Lake,32,76
Costa Rica,Midfielder,Jewison Bennette,Sunderland,18,7
Costa Rica,Midfielder,Bryan Ruiz,Alajuelense,37,146
Costa Rica,Forward,Johan Venegas,Alajuelense,33,82
Costa Rica,Forward,Joel Campbell,León,30,119
Costa Rica,Midfielder,Gerson Torres,Herediano,25,13
Costa Rica,Midfielder,Youstin Salas,Saprissa,26,4
Costa Rica,Defender,Francisco Calvo,Konyaspor,30,75
Costa Rica,Defender,Carlos Martínez,San Carlos,23,7
Costa Rica,Midfielder,Yeltsin Tejeda,Herediano,30,73
Costa Rica,Goalkeeper,Esteban Alvarado,Herediano,33,25
Costa Rica,Defender,Kendall Waston,Saprissa,34,63
Costa Rica,Midfielder,Brandon Aguilera,Guanacasteca,19,4
Costa Rica,Midfielder,Douglas López,Herediano,24,3
Costa Rica,Defender,Rónald Matarrita,FC Cincinnati,28,52
Costa Rica,Goalkeeper,Patrick Sequeira,Lugo,23,2
Costa Rica,Midfielder,Roan Wilson,Municipal Grecia,20,3
Costa Rica,Midfielder,Anthony Hernández,Puntarenas,21,3
Costa Rica,Midfielder,Álvaro Zamora,Saprissa,20,3
Germany,Goalkeeper,Manuel Neuer,Bayern Munich,36,114
Germany,Defender,Antonio Rüdiger,Real Madrid,29,54
Germany,Defender,David Raum,RB Leipzig,24,12
Germany,Defender,Matthias Ginter,SC Freiburg,28,47
Germany,Defender,Thilo Kehrer,West Ham United,26,23
Germany,Midfielder,Joshua Kimmich,Bayern Munich,27,71
Germany,Forward,Kai Havertz,Chelsea,23,31
Germany,Midfielder,Leon Goretzka,Bayern Munich,27,45
Germany,Forward,Niclas Füllkrug,Werder Bremen,29,1
Germany,Forward,Serge Gnabry,Bayern Munich,27,36
Germany,Midfielder,Mario Götze,Eintracht Frankfurt,30,63
Germany,Goalkeeper,Kevin Trapp,Eintracht Frankfurt,32,6
Germany,Midfielder,Thomas Müller,Bayern Munich,33,118
Germany,Midfielder,Jamal Musiala,Bayern Munich,19,17
Germany,Defender,Niklas Süle,Borussia Dortmund,27,42
Germany,Defender,Lukas Klostermann,RB Leipzig,26,19
