Nation,Position,Player,Club,Age,Caps
Ecuador,Goalkeeper,Hernán Galíndez,Aucas,35,12
Ecuador,Defender,Félix Torres,Santos Laguna,25,17
Ecuador,Defender,Piero Hincapié,Bayer Leverkusen,20,21
Ecuador,Defender,Robert Arboleda,São Paulo,31,33
Ecuador,Midfielder,José Cifuentes,Los Angeles FC,23,11
Ecuador,Defender,William Pacho,Antwerp,21,0
Ecuador,Defender,Pervis Estupiñán,Brighton & Hove Albion,24,28
Ecuador,Midfielder,Carlos Gruezo,FC Augsburg,27,46
Ecuador,Midfielder,Ayrton Preciado,Santos Laguna,28,27
Ecuador,Midfielder,Romario Ibarra,Pachuca,28,25
Ecuador,Forward,Michael Estrada,Cruz Azul,26,36
Ecuador,Goalkeeper,Moisés Ramírez,Independiente del Valle,22,2
Ecuador,Forward,Enner Valencia,Fenerbahçe,33,74
Ecuador,Defender,Xavier Arreaga,Seattle Sounders FC,28,18
Ecuador,Midfielder,Ángel Mena,León,34,46
Ecuador,Midfielder,Jeremy Sarmiento,Brighton & Hove Albion,20,9
Ecuador,Defender,Ángelo Preciado,Genk,24,24
Ecuador,Defender,Diego Palacios,Los Angeles FC,23,12
Ecuador,Midfielder,Gonzalo Plata,Valladolid,22,30
Ecuador,Midfielder,Sebas Méndez,Los Angeles FC,25,32
Ecuador,Midfielder,Alan Franco,Talleres,24,25
Ecuador,Goalkeeper,Alexander Domínguez,LDU Quito,35,68
Ecuador,Midfielder,Moisés Caicedo,Brighton & Hove Albion,21,25
Ecuador,Forward,Djorkaeff Reasco,Newell's Old Boys,23,4
Ecuador,Defender,Jackson Porozo,Troyes,22,5
Ecuador,Forward,Kevin Rodríguez,Imbabura,22,1
Netherlands,Goalkeeper,Remko Pasveer,Ajax,39,2
Netherlands,Defender,Jurriën Timber,Ajax,21,10
Netherlands,Defender,Matthijs de Ligt,Bayern Munich,23,38
Netherlands,Defender,Virgil van Dijk,Liverpool,31,49
Netherlands,Defender,Nathan Aké,Manchester City,27,29
Netherlands,Defender,Stefan de Vrij,Internazionale,30,59
Netherlands,Forward,Steven Bergwijn,Ajax,25,24
Netherlands,Forward,Cody Gakpo,PSV Eindhoven,23,9
Netherlands,Forward,Luuk de Jong,PSV Eindhoven,32,38
Netherlands,Forward,Memphis Depay,Barcelona,28,81
Netherlands,Midfielder,Steven Berghuis,Ajax,30,39
Netherlands,Forward,Noa Lang,Club Brugge,23,5
Netherlands,Goalkeeper,Justin Bijlow,Feyenoord,24,6
Netherlands,Midfielder,Davy Klaassen,Ajax,29,35
Netherlands,Midfielder,Marten de Roon,Atalanta,31,30
Netherlands,Defender,Tyrell Malacia,Manchester United,23,6
Netherlands,Defender,Daley Blind,Ajax,32,94
Netherlands,Forward,Vincent Janssen,Antwerp,28,20
Netherlands,Forward,Wout Weghorst,Beşiktaş,30,15
Netherlands,Midfielder,Teun Koopmeiners,Atalanta,24,10
Netherlands,Midfielder,Frenkie de Jong,Barcelona,25,45
Netherlands,Defender,Denzel Dumfries,Internazionale,26,37
Netherlands,Goalkeeper,Andries Noppert,Heerenveen,28,0
Netherlands,Midfielder,Kenneth Taylor,Ajax,20,2
Netherlands,Midfielder,Xavi Simons,PSV Eindhoven,19,0
Netherlands,Defender,Jeremie Frimpong,Bayer Leverkusen,21,0
