"year";"stage";"home_team";"away_team";"home_score";"away_score";"winner";"home_team_stats_score";"home_team_ranking";"away_team_stats_score";"away_team_ranking";"home_team_perform_hist";"away_team_perform_hist";"home_team_wc_perform";"away_team_wc_perform"
2006;"Round of 16";"Argentina";"Mexico";2;1;"home_team";79,8260869565217;746;74,0434782608696;758;0,416666666666667;0,166666666666667;0,5;0,24390243902439
2006;"Round of 16";"Germany";"Sweden";2;0;"home_team";82,5321739130435;696;74,4782608695652;709;1;0;0,608695652173913;0,357142857142857
2006;"Round of 16";"England";"Ecuador";1;0;"home_team";81,695652173913;741;67,304347826087;631;1;0;0,44;0,333333333333333
2006;"Round of 16";"Portugal";"Netherlands";1;0;"home_team";75,304347826087;750;79,7391304347826;768;0,6;0,1;0,583333333333333;0,4375
2006;"Round of 16";"Italy";"Australia";1;0;"home_team";83,4813043478261;728;74,2173913043478;612;1;0;0,557142857142857;0
2006;"Round of 16";"Switzerland";"Ukraine";0;0;"draw";74,4347826086957;648;71,5789473684211;609;0;0;0,272727272727273;0
2006;"Round of 16";"Brazil";"Ghana";3;0;"home_team";75,7478260869565;827;73;600;1;0;0,689655172413793;0
2006;"Round of 16";"Spain";"France";1;3;"away_team";76,5;756;84,4639130434783;749;0,142857142857143;0,714285714285714;0,422222222222222;0,477272727272727
2006;"Quarterfinals";"Germany";"Argentina";1;1;"draw";82,5321739130435;696;79,8260869565217;746;0,166666666666667;0,333333333333333;0,608695652173913;0,5
2006;"Quarterfinals";"Italy";"Ukraine";3;0;"home_team";83,4813043478261;728;71,5789473684211;609;0,8;0;0,557142857142857;0
2006;"Quarterfinals";"Brazil";"France";0;1;"away_team";75,7478260869565;827;84,4639130434783;749;0,166666666666667;0,5;0,689655172413793;0,477272727272727
2006;"Quarterfinals";"England";"Portugal";0;0;"draw";81,695652173913;741;75,304347826087;750;0,142857142857143;0,142857142857143;0,44;0,583333333333333
2006;"Semifinals";"Germany";"Italy";0;2;"away_team";82,5321739130435;696;83,4813043478261;728;0,285714285714286;0,571428571428571;0,608695652173913;0,557142857142857
2006;"Semifinals";"Portugal";"France";0;1;"away_team";75,304347826087;750;84,4639130434783;749;0;1;0,583333333333333;0,477272727272727
2006;"Third place";"Germany";"Portugal";3;1;"home_team";82,5321739130435;696;75,304347826087;750;0,333333333333333;0,166666666666667;0,608695652173913;0,583333333333333
2006;"Final";"Italy";"France";1;1;"draw";83,4813043478261;728;84,4639130434783;749;0;0,5;0,557142857142857;0,477272727272727
2010;"Group A";"South Africa";"Mexico";1;1;"draw";68,85;392;72,4782608695652;895;0,333333333333333;0,333333333333333;0,166666666666667;0,244444444444444
2010;"Group A";"Uruguay";"France";0;0;"draw";75,7739130434783;899;80,2608695652174;1044;0;0;0,375;0,490196078431373
2010;"Group B";"Argentina";"Nigeria";1;0;"home_team";81,3761904761905;1076;72,0526315789474;883;0,75;0;0,507692307692308;0,363636363636364
2010;"Group C";"England";"USA";1;1;"draw";78,5652173913043;1068;73,3478260869565;957;0,75;0;0,454545454545455;0,24
2010;"Group B";"South Korea";"Greece";2;0;"home_team";56,7272727272727;632;73,7727272727273;964;0,666666666666667;0;0,166666666666667;0
2010;"Group C";"Algeria";"Slovenia";0;1;"away_team";71,4736842105263;821;69,9090909090909;860;0;1;0,333333333333333;0
2010;"Group D";"Germany";"Australia";4;0;"home_team";78,5652173913043;1082;71,2272727272727;886;1;0;0,633333333333333;0,142857142857143
2010;"Group D";"Serbia";"Ghana";0;1;"away_team";75,45;947;70,45;800;0,5;0,5;0,25;0,5
2010;"Group F";"Italy";"Paraguay";1;1;"draw";79,2173913043478;1184;73,1428571428571;820;0,5;0;0,571428571428571;0,272727272727273
2010;"Group E";"Japan";"Cameroon";1;0;"home_team";72,6666666666667;682;74,2857142857143;887;0,75;0;0,2;0,235294117647059
2010;"Group E";"Netherlands";"Denmark";2;0;"home_team";79,2191304347826;1231;71,695652173913;767;0,4;0;0,444444444444444;0,538461538461538
2010;"Group G";"Brazil";"North Korea";2;1;"home_team";70,4782608695652;1611;NA;NA;1;0;0,695652173913043;0,25
2010;"Group G";"Ivory Coast";"Portugal";0;0;"draw";76,6747826086957;NA;77,2852173913043;1249;0;0;0,333333333333333;0,578947368421053
2010;"Group F";"New Zealand";"Slovakia";1;1;"draw";60,9130434782609;410;72,1;777;0;0;0;0
2010;"Group H";"Honduras";"Chile";0;1;"away_team";71,1666666666667;734;74,5;888;0,333333333333333;0,666666666666667;0;0,28
2010;"Group A";"South Africa";"Uruguay";0;3;"away_team";68,85;392;75,7739130434783;899;0;0,666666666666667;0,166666666666667;0,375
2010;"Group H";"Spain";"Switzerland";0;1;"away_team";79,7308695652174;1565;74,5217391304348;866;0,5;0,5;0,448979591836735;0,307692307692308
2010;"Group B";"Argentina";"South Korea";4;1;"home_team";81,3761904761905;1076;56,7272727272727;632;1;0;0,507692307692308;0,166666666666667
2010;"Group A";"France";"Mexico";0;2;"away_team";80,2608695652174;1044;72,4782608695652;895;0,75;0,25;0,490196078431373;0,244444444444444
2010;"Group B";"Greece";"Nigeria";2;1;"home_team";73,7727272727273;964;72,0526315789474;883;0,666666666666667;0,333333333333333;0;0,363636363636364
2010;"Group C";"England";"Algeria";0;0;"draw";78,5652173913043;1068;71,4736842105263;821;0;0;0,454545454545455;0,333333333333333
2010;"Group D";"Germany";"Serbia";0;1;"away_team";78,5652173913043;1082;75,45;947;0,5;0,25;0,633333333333333;0,25
2010;"Group C";"Slovenia";"USA";2;2;"draw";69,9090909090909;860;73,3478260869565;957;0;0;0;0,24
2010;"Group E";"Cameroon";"Denmark";1;2;"away_team";74,2857142857143;887;71,695652173913;767;0,333333333333333;0,666666666666667;0,235294117647059;0,538461538461538
2010;"Group D";"Ghana";"Australia";1;1;"draw";70,45;800;71,2272727272727;886;0,142857142857143;0,571428571428571;0,5;0,142857142857143
2010;"Group E";"Netherlands";"Japan";1;0;"home_team";79,2191304347826;1231;72,6666666666667;682;1;0;0,444444444444444;0,2
2010;"Group G";"Brazil";"Ivory Coast";3;1;"home_team";70,4782608695652;1611;76,6747826086957;NA;1;0;0,695652173913043;0,333333333333333
2010;"Group F";"Italy";"New Zealand";1;1;"draw";79,2173913043478;1184;60,9130434782609;410;0,5;0;0,571428571428571;0
2010;"Group F";"Slovakia";"Paraguay";0;2;"away_team";72,1;777;73,1428571428571;820;0;1;0;0,272727272727273
2010;"Group H";"Chile";"Switzerland";1;0;"home_team";74,5;888;74,5217391304348;866;0,5;0,5;0,28;0,307692307692308
2010;"Group G";"Portugal";"North Korea";7;0;"home_team";77,2852173913043;1249;NA;NA;1;0;0,578947368421053;0,25
2010;"Group H";"Spain";"Honduras";2;0;"home_team";79,7308695652174;1565;71,1666666666667;734;1;0;0,448979591836735;0
2010;"Group B";"Greece";"Argentina";0;2;"away_team";73,7727272727273;964;81,3761904761905;1076;0;1;0;0,507692307692308
2010;"Group A";"Mexico";"Uruguay";0;1;"away_team";72,4782608695652;895;75,7739130434783;899;0,5;0,25;0,244444444444444;0,375
2010;"Group B";"Nigeria";"South Korea";2;2;"draw";72,0526315789474;883;56,7272727272727;632;0;0,5;0,363636363636364;0,166666666666667
2010;"Group A";"South Africa";"France";2;1;"home_team";68,85;392;80,2608695652174;1044;0,25;0,5;0,166666666666667;0,490196078431373
2010;"Group D";"Australia";"Serbia";2;1;"home_team";71,2272727272727;886;75,45;947;1;0;0,142857142857143;0,25
2010;"Group D";"Ghana";"Germany";0;1;"away_team";70,45;800;78,5652173913043;1082;0;1;0,5;0,633333333333333
2010;"Group C";"Slovenia";"England";0;1;"away_team";69,9090909090909;860;78,5652173913043;1068;0;1;0;0,454545454545455
2010;"Group C";"USA";"Algeria";1;0;"home_team";73,3478260869565;957;71,4736842105263;821;1;0;0,24;0,333333333333333
2010;"Group E";"Cameroon";"Netherlands";1;2;"away_team";74,2857142857143;887;79,2191304347826;1231;0;0,666666666666667;0,235294117647059;0,444444444444444
2010;"Group E";"Denmark";"Japan";1;3;"away_team";71,695652173913;767;72,6666666666667;682;0;1;0,538461538461538;0,2
2010;"Group F";"Paraguay";"New Zealand";0;0;"draw";73,1428571428571;820;60,9130434782609;410;0,666666666666667;0;0,272727272727273;0
