"date";"home_team";"away_team";"home_score";"away_score";"tournament";"country";"neutral";"year";"winner"
"2006-01-02";"Qatar";"Libya";2;0;"Friendly";"Qatar";FALSE;2006;"Qatar"
"2006-01-05";"Egypt";"Zimbabwe";2;0;"Friendly";"Egypt";FALSE;2006;"Egypt"
"2006-01-07";"Guinea";"Togo";1;0;"Friendly";"France";TRUE;2006;"Guinea"
"2006-01-09";"Morocco";"DR Congo";3;0;"Friendly";"Morocco";FALSE;2006;"Morocco"
"2006-01-11";"Ghana";"Togo";0;1;"Friendly";"Tunisia";TRUE;2006;"Togo"
"2006-01-12";"Tunisia";"Libya";1;0;"Friendly";"Tunisia";FALSE;2006;"Tunisia"
"2006-01-14";"Egypt";"South Africa";1;2;"Friendly";"Egypt";FALSE;2006;"South Africa"
"2006-01-14";"Morocco";"Zimbabwe";1;0;"Friendly";"Morocco";FALSE;2006;"Morocco"
"2006-01-14";"Senegal";"DR Congo";0;0;"Friendly";"Senegal";FALSE;2006;"draw"
"2006-01-15";"Tunisia";"Ghana";2;0;"Friendly";"Tunisia";FALSE;2006;"Tunisia"
"2006-01-17";"Ivory Coast";"Jordan";2;0;"Friendly";"United Arab Emirates";TRUE;2006;"Ivory Coast"
"2006-01-17";"Morocco";"Angola";2;2;"Friendly";"Morocco";FALSE;2006;"draw"
"2006-01-18";"Saudi Arabia";"Sweden";1;1;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-01-18";"United Arab Emirates";"South Korea";1;0;"Friendly";"United Arab Emirates";FALSE;2006;"United Arab Emirates"
"2006-01-20";"Egypt";"Libya";3;0;"African Cup of Nations";"Egypt";FALSE;2006;"Egypt"
"2006-01-21";"Cameroon";"Angola";3;1;"African Cup of Nations";"Egypt";TRUE;2006;"Cameroon"
"2006-01-21";"Greece";"South Korea";1;1;"Friendly";"Saudi Arabia";TRUE;2006;"draw"
"2006-01-21";"Morocco";"Ivory Coast";0;1;"African Cup of Nations";"Egypt";TRUE;2006;"Ivory Coast"
"2006-01-21";"Saudi Arabia";"Finland";1;1;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-01-21";"Togo";"DR Congo";0;2;"African Cup of Nations";"Egypt";TRUE;2006;"DR Congo"
"2006-01-22";"South Africa";"Guinea";0;2;"African Cup of Nations";"Egypt";TRUE;2006;"Guinea"
"2006-01-22";"Tunisia";"Zambia";4;1;"African Cup of Nations";"Egypt";TRUE;2006;"Tunisia"
"2006-01-22";"USA";"Canada";0;0;"Friendly";"United States";FALSE;2006;"draw"
"2006-01-23";"Jordan";"Sweden";0;0;"Friendly";"United Arab Emirates";TRUE;2006;"draw"
"2006-01-23";"Nigeria";"Ghana";1;0;"African Cup of Nations";"Egypt";TRUE;2006;"Nigeria"
"2006-01-23";"Zimbabwe";"Senegal";0;2;"African Cup of Nations";"Egypt";TRUE;2006;"Senegal"
"2006-01-24";"Egypt";"Morocco";0;0;"African Cup of Nations";"Egypt";FALSE;2006;"draw"
"2006-01-24";"Libya";"Ivory Coast";1;2;"African Cup of Nations";"Egypt";TRUE;2006;"Ivory Coast"
"2006-01-25";"Angola";"DR Congo";0;0;"African Cup of Nations";"Egypt";TRUE;2006;"draw"
"2006-01-25";"Cameroon";"Togo";2;0;"African Cup of Nations";"Egypt";TRUE;2006;"Cameroon"
"2006-01-25";"Ecuador";"Honduras";1;0;"Friendly";"Ecuador";FALSE;2006;"Ecuador"
"2006-01-25";"Finland";"South Korea";0;1;"Friendly";"Saudi Arabia";TRUE;2006;"South Korea"
"2006-01-25";"Mexico";"Norway";2;1;"Friendly";"United States";TRUE;2006;"Mexico"
"2006-01-25";"Saudi Arabia";"Greece";1;1;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-01-26";"Tunisia";"South Africa";2;0;"African Cup of Nations";"Egypt";TRUE;2006;"Tunisia"
"2006-01-26";"Zambia";"Guinea";1;2;"African Cup of Nations";"Egypt";TRUE;2006;"Guinea"
"2006-01-27";"Ghana";"Senegal";1;0;"African Cup of Nations";"Egypt";TRUE;2006;"Ghana"
"2006-01-27";"Nigeria";"Zimbabwe";2;0;"African Cup of Nations";"Egypt";TRUE;2006;"Nigeria"
"2006-01-27";"Northern Cyprus";"Kyrgyzstan";3;2;"Friendly";"Northern Cyprus";FALSE;2006;"Northern Cyprus"
"2006-01-27";"Saudi Arabia";"Lebanon";1;2;"Friendly";"Saudi Arabia";FALSE;2006;"Lebanon"
"2006-01-28";"Egypt";"Ivory Coast";3;1;"African Cup of Nations";"Egypt";FALSE;2006;"Egypt"
"2006-01-28";"Libya";"Morocco";0;0;"African Cup of Nations";"Egypt";TRUE;2006;"draw"
"2006-01-29";"Angola";"Togo";3;2;"African Cup of Nations";"Egypt";TRUE;2006;"Angola"
"2006-01-29";"Cameroon";"DR Congo";2;0;"African Cup of Nations";"Egypt";TRUE;2006;"Cameroon"
"2006-01-29";"South Korea";"Croatia";2;0;"Lunar New Year Cup";"Hong Kong";TRUE;2006;"South Korea"
"2006-01-29";"USA";"Norway";5;0;"Friendly";"United States";FALSE;2006;"USA"
"2006-01-30";"Bahrain";"Syria";1;1;"Friendly";"Bahrain";FALSE;2006;"draw"
"2006-01-30";"Tunisia";"Guinea";0;3;"African Cup of Nations";"Egypt";TRUE;2006;"Guinea"
"2006-01-30";"Zambia";"South Africa";1;0;"African Cup of Nations";"Egypt";TRUE;2006;"Zambia"
"2006-01-31";"Ghana";"Zimbabwe";1;2;"African Cup of Nations";"Egypt";TRUE;2006;"Zimbabwe"
"2006-01-31";"Nigeria";"Senegal";2;1;"African Cup of Nations";"Egypt";TRUE;2006;"Nigeria"
"2006-02-01";"Hong Kong";"Croatia";0;4;"Lunar New Year Cup";"Hong Kong";FALSE;2006;"Croatia"
"2006-02-01";"Thailand";"Jordan";0;0;"Friendly";"Thailand";FALSE;2006;"draw"
"2006-02-03";"Egypt";"DR Congo";4;1;"African Cup of Nations";"Egypt";FALSE;2006;"Egypt"
"2006-02-03";"Guinea";"Senegal";2;3;"African Cup of Nations";"Egypt";TRUE;2006;"Senegal"
"2006-02-04";"Cameroon";"Ivory Coast";1;1;"African Cup of Nations";"Egypt";TRUE;2006;"draw"
"2006-02-04";"Nigeria";"Tunisia";1;1;"African Cup of Nations";"Egypt";TRUE;2006;"draw"
"2006-02-06";"Oman";"Singapore";1;0;"Friendly";"Qatar";TRUE;2006;"Oman"
"2006-02-07";"Egypt";"Senegal";2;1;"African Cup of Nations";"Egypt";FALSE;2006;"Egypt"
"2006-02-07";"Kuwait";"Jordan";2;1;"Friendly";"Kuwait";FALSE;2006;"Kuwait"
"2006-02-07";"Nigeria";"Ivory Coast";0;1;"African Cup of Nations";"Egypt";TRUE;2006;"Ivory Coast"
"2006-02-07";"Syria";"Palestine";3;0;"Friendly";"Syria";FALSE;2006;"Syria"
"2006-02-09";"Senegal";"Nigeria";0;1;"African Cup of Nations";"Egypt";TRUE;2006;"Nigeria"
"2006-02-10";"Egypt";"Ivory Coast";0;0;"African Cup of Nations";"Egypt";FALSE;2006;"draw"
"2006-02-10";"USA";"Japan";3;2;"Friendly";"United States";FALSE;2006;"USA"
"2006-02-11";"Costa Rica";"South Korea";1;0;"Friendly";"United States";TRUE;2006;"Costa Rica"
"2006-02-12";"China PR";"Honduras";0;1;"Friendly";"China PR";FALSE;2006;"Honduras"
"2006-02-13";"Oman";"Iraq";1;0;"Friendly";"Oman";FALSE;2006;"Oman"
"2006-02-14";"Jordan";"Kazakhstan";2;0;"Friendly";"Jordan";FALSE;2006;"Jordan"
"2006-02-14";"Qatar";"Tajikistan";2;0;"Friendly";"Qatar";FALSE;2006;"Qatar"
"2006-02-14";"Saudi Arabia";"Syria";1;1;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-02-15";"Hong Kong";"Singapore";1;1;"Friendly";"Hong Kong";FALSE;2006;"draw"
"2006-02-15";"Mexico";"South Korea";0;1;"Friendly";"United States";TRUE;2006;"South Korea"
"2006-02-16";"Bahrain";"Palestine";0;2;"Friendly";"Bahrain";FALSE;2006;"Palestine"
"2006-02-16";"Thailand";"Iraq";4;3;"Friendly";"Thailand";FALSE;2006;"Thailand"
"2006-02-18";"Hong Kong";"India";2;2;"Friendly";"Hong Kong";FALSE;2006;"draw"
"2006-02-18";"Japan";"Finland";2;0;"Friendly";"Japan";FALSE;2006;"Japan"
"2006-02-18";"Pakistan";"Palestine";0;3;"Friendly";"Bahrain";TRUE;2006;"Palestine"
"2006-02-19";"New Zealand";"Malaysia";1;0;"Friendly";"New Zealand";FALSE;2006;"New Zealand"
"2006-02-19";"USA";"Guatemala";4;0;"Friendly";"United States";FALSE;2006;"USA"
"2006-02-22";"Bahrain";"Australia";1;3;"AFC Asian Cup qualification";"Bahrain";FALSE;2006;"Australia"
"2006-02-22";"China PR";"Palestine";2;0;"AFC Asian Cup qualification";"China PR";FALSE;2006;"China PR"
"2006-02-22";"Hong Kong";"Qatar";0;3;"AFC Asian Cup qualification";"Hong Kong";FALSE;2006;"Qatar"
"2006-02-22";"IR Iran";"Taiwan";4;0;"AFC Asian Cup qualification";"Iran";FALSE;2006;"IR Iran"
"2006-02-22";"Japan";"India";6;0;"AFC Asian Cup qualification";"Japan";FALSE;2006;"Japan"
"2006-02-22";"Jordan";"Pakistan";3;0;"AFC Asian Cup qualification";"Jordan";FALSE;2006;"Jordan"
"2006-02-22";"Lebanon";"Kuwait";1;1;"AFC Asian Cup qualification";"Lebanon";FALSE;2006;"draw"
"2006-02-22";"Singapore";"Iraq";2;0;"AFC Asian Cup qualification";"Singapore";FALSE;2006;"Singapore"
"2006-02-22";"Syria";"South Korea";1;2;"AFC Asian Cup qualification";"Syria";FALSE;2006;"South Korea"
"2006-02-22";"United Arab Emirates";"Oman";1;0;"AFC Asian Cup qualification";"United Arab Emirates";FALSE;2006;"United Arab Emirates"
"2006-02-22";"Uzbekistan";"Bangladesh";5;0;"AFC Asian Cup qualification";"Uzbekistan";FALSE;2006;"Uzbekistan"
"2006-02-22";"Yemen";"Saudi Arabia";0;4;"AFC Asian Cup qualification";"Yemen";FALSE;2006;"Saudi Arabia"
"2006-02-23";"New Zealand";"Malaysia";2;1;"Friendly";"New Zealand";FALSE;2006;"New Zealand"
"2006-02-24";"Guyana";"Antigua and Barbuda";2;1;"Friendly";"Guyana";FALSE;2006;"Guyana"
"2006-02-24";"Kazakhstan";"North Korea";0;0;"Friendly";"Cyprus";TRUE;2006;"draw"
"2006-02-25";"Saint Kitts and Nevis";"Saint Martin";6;1;"Friendly";"Saint Kitts and Nevis";FALSE;2006;"Saint Kitts and Nevis"
"2006-02-26";"Guyana";"Antigua and Barbuda";4;1;"Friendly";"Guyana";FALSE;2006;"Guyana"
"2006-02-28";"Algeria";"Burkina Faso";0;0;"Friendly";"France";TRUE;2006;"draw"
"2006-02-28";"Azerbaijan";"Ukraine";0;0;"Friendly";"Azerbaijan";FALSE;2006;"draw"
"2006-02-28";"Bosnia and Herzegovina";"Japan";2;2;"Friendly";"Germany";TRUE;2006;"draw"
"2006-02-28";"Cyprus";"Slovenia";0;1;"Cyprus International Tournament";"Cyprus";FALSE;2006;"Slovenia"
"2006-02-28";"Finland";"Kazakhstan";0;0;"Cyprus International Tournament";"Cyprus";TRUE;2006;"draw"
"2006-02-28";"Greece";"Belarus";1;0;"Cyprus International Tournament";"Cyprus";TRUE;2006;"Greece"
"2006-02-28";"Iceland";"Trinidad and Tobago";0;2;"Friendly";"England";TRUE;2006;"Trinidad and Tobago"
"2006-02-28";"Romania";"Armenia";2;0;"Cyprus International Tournament";"Cyprus";TRUE;2006;"Romania"
"2006-03-01";"Albania";"Lithuania";1;2;"Friendly";"Albania";FALSE;2006;"Lithuania"
"2006-03-01";"Argentina";"Croatia";2;3;"Friendly";"Switzerland";TRUE;2006;"Croatia"
"2006-03-01";"Austria";"Canada";0;2;"Friendly";"Austria";FALSE;2006;"Canada"
"2006-03-01";"Bangladesh";"Hong Kong";0;1;"AFC Asian Cup qualification";"Bangladesh";FALSE;2006;"Hong Kong"
"2006-03-01";"Cyprus";"Armenia";2;0;"Cyprus International Tournament";"Cyprus";FALSE;2006;"Cyprus"
"2006-03-01";"England";"Uruguay";2;1;"Friendly";"England";FALSE;2006;"England"
"2006-03-01";"Finland";"Belarus";2;2;"Cyprus International Tournament";"Cyprus";TRUE;2006;"draw"
"2006-03-01";"France";"Slovakia";1;2;"Friendly";"France";FALSE;2006;"Slovakia"
"2006-03-01";"India";"Yemen";0;3;"AFC Asian Cup qualification";"India";FALSE;2006;"Yemen"
"2006-03-01";"IR Iran";"Costa Rica";3;2;"Friendly";"Iran";FALSE;2006;"IR Iran"
"2006-03-01";"Iraq";"China PR";2;1;"AFC Asian Cup qualification";"United Arab Emirates";TRUE;2006;"Iraq"
"2006-03-01";"Republic of Ireland";"Sweden";3;0;"Friendly";"Republic of Ireland";FALSE;2006;"Republic of Ireland"
"2006-03-01";"Israel";"Denmark";0;2;"Friendly";"Israel";FALSE;2006;"Denmark"
"2006-03-01";"Italy";"Germany";4;1;"Friendly";"Italy";FALSE;2006;"Italy"
"2006-03-01";"Kazakhstan";"Greece";0;2;"Cyprus International Tournament";"Cyprus";TRUE;2006;"Greece"
"2006-03-01";"South Korea";"Angola";1;0;"Friendly";"South Korea";FALSE;2006;"South Korea"
"2006-03-01";"Kuwait";"Bahrain";0;0;"AFC Asian Cup qualification";"Kuwait";FALSE;2006;"draw"
"2006-03-01";"Luxembourg";"Belgium";0;2;"Friendly";"Luxembourg";FALSE;2006;"Belgium"
"2006-03-01";"North Macedonia";"Bulgaria";0;1;"Friendly";"North Macedonia";FALSE;2006;"Bulgaria"
"2006-03-01";"Malta";"Georgia";0;2;"Malta International Tournament";"Malta";FALSE;2006;"Georgia"
"2006-03-01";"Mexico";"Ghana";1;0;"Friendly";"United States";TRUE;2006;"Mexico"
"2006-03-01";"Netherlands";"Ecuador";1;0;"Friendly";"Netherlands";FALSE;2006;"Netherlands"
"2006-03-01";"Northern Ireland";"Estonia";1;0;"Friendly";"Northern Ireland";FALSE;2006;"Northern Ireland"
"2006-03-01";"Oman";"Jordan";3;0;"AFC Asian Cup qualification";"Oman";FALSE;2006;"Oman"
"2006-03-01";"Pakistan";"United Arab Emirates";1;4;"AFC Asian Cup qualification";"Pakistan";FALSE;2006;"United Arab Emirates"
"2006-03-01";"Palestine";"Singapore";1;0;"AFC Asian Cup qualification";"Jordan";TRUE;2006;"Palestine"
"2006-03-01";"Poland";"USA";0;1;"Friendly";"Germany";TRUE;2006;"USA"
"2006-03-01";"Qatar";"Uzbekistan";2;1;"AFC Asian Cup qualification";"Qatar";FALSE;2006;"Qatar"
"2006-03-01";"Russia";"Brazil";0;1;"Friendly";"Russia";FALSE;2006;"Brazil"
"2006-03-01";"Saudi Arabia";"Portugal";0;3;"Friendly";"Germany";TRUE;2006;"Portugal"
"2006-03-01";"Scotland";"Switzerland";1;3;"Friendly";"Scotland";FALSE;2006;"Switzerland"
"2006-03-01";"Senegal";"Norway";2;1;"Friendly";"Senegal";FALSE;2006;"Senegal"
"2006-03-01";"Slovenia";"Romania";0;2;"Cyprus International Tournament";"Cyprus";TRUE;2006;"Romania"
"2006-03-01";"Spain";"Ivory Coast";3;2;"Friendly";"Spain";FALSE;2006;"Spain"
"2006-03-01";"Tunisia";"Serbia";0;1;"Friendly";"Tunisia";FALSE;2006;"Serbia"
"2006-03-01";"Turkey";"Czech Republic";2;2;"Friendly";"Turkey";FALSE;2006;"draw"
"2006-03-01";"Venezuela";"Colombia";1;1;"Friendly";"Venezuela";FALSE;2006;"draw"
"2006-03-01";"Wales";"Paraguay";0;0;"Friendly";"Wales";FALSE;2006;"draw"
"2006-03-15";"Saudi Arabia";"Iraq";2;2;"Friendly";"Saudi Arabia";FALSE;2006;"draw"
"2006-03-22";"Albania";"Georgia";0;0;"Friendly";"Albania";FALSE;2006;"draw"
"2006-03-22";"Germany";"USA";4;1;"Friendly";"Germany";FALSE;2006;"Germany"
"2006-03-26";"Thailand";"Philippines";5;0;"Friendly";"Thailand";FALSE;2006;"Thailand"
"2006-03-28";"Saudi Arabia";"Poland";1;2;"Friendly";"Saudi Arabia";FALSE;2006;"Poland"
"2006-03-29";"Equatorial Guinea";"Benin";2;0;"Friendly";"Equatorial Guinea";FALSE;2006;"Equatorial Guinea"
"2006-03-29";"Mexico";"Paraguay";2;1;"Friendly";"United States";TRUE;2006;"Mexico"
"2006-03-30";"Japan";"Ecuador";1;0;"Friendly";"Japan";FALSE;2006;"Japan"
"2006-04-01";"Bangladesh";"Cambodia";2;1;"AFC Challenge Cup";"Bangladesh";FALSE;2006;"Bangladesh"
"2006-04-01";"Palestine";"Guam";11;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Palestine"
"2006-04-01";"Tanzania";"Zanzibar";2;2;"Friendly";"Tanzania";FALSE;2006;"draw"
"2006-04-02";"Kyrgyzstan";"Pakistan";0;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Pakistan"
"2006-04-02";"Nepal";"Bhutan";2;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Nepal"
"2006-04-02";"Sri Lanka";"Brunei";1;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Sri Lanka"
"2006-04-02";"Tajikistan";"Macau";4;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Tajikistan"
"2006-04-03";"Afghanistan";"Taiwan";2;2;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"draw"
"2006-04-03";"Bangladesh";"Guam";3;0;"AFC Challenge Cup";"Bangladesh";FALSE;2006;"Bangladesh"
"2006-04-03";"Cambodia";"Palestine";0;4;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Palestine"
"2006-04-04";"Bhutan";"Sri Lanka";0;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Sri Lanka"
"2006-04-04";"Brunei";"Nepal";2;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Brunei"
"2006-04-04";"Pakistan";"Tajikistan";0;2;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Tajikistan"
"2006-04-05";"Bangladesh";"Palestine";1;1;"AFC Challenge Cup";"Bangladesh";FALSE;2006;"draw"
"2006-04-05";"Philippines";"Afghanistan";1;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"draw"
"2006-04-06";"Bhutan";"Brunei";0;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"draw"
"2006-04-06";"Cambodia";"Guam";3;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Cambodia"
"2006-04-06";"Pakistan";"Macau";2;2;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"draw"
"2006-04-06";"Sri Lanka";"Nepal";1;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"draw"
"2006-04-06";"Tajikistan";"Kyrgyzstan";0;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Kyrgyzstan"
"2006-04-07";"Macau";"Kyrgyzstan";0;2;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Kyrgyzstan"
"2006-04-08";"Sri Lanka";"Taiwan";3;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Sri Lanka"
"2006-04-09";"Palestine";"Kyrgyzstan";0;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Kyrgyzstan"
"2006-04-10";"Bangladesh";"Tajikistan";1;6;"AFC Challenge Cup";"Bangladesh";FALSE;2006;"Tajikistan"
"2006-04-11";"USA";"Jamaica";1;1;"Friendly";"United States";FALSE;2006;"draw"
"2006-04-12";"Azerbaijan";"Turkey";1;1;"Friendly";"Azerbaijan";FALSE;2006;"draw"
"2006-04-12";"Sri Lanka";"Nepal";1;1;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"draw"
"2006-04-13";"Tajikistan";"Kyrgyzstan";2;0;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Tajikistan"
"2006-04-14";"Lesotho";"Eswatini";5;0;"Friendly";"Lesotho";FALSE;2006;"Lesotho"
"2006-04-16";"Lesotho";"Eswatini";2;2;"Friendly";"Lesotho";FALSE;2006;"draw"
"2006-04-16";"Sri Lanka";"Tajikistan";0;4;"AFC Challenge Cup";"Bangladesh";TRUE;2006;"Tajikistan"
"2006-04-22";"Kosovo";"Monaco";7;1;"Friendly";"France";TRUE;2006;"Kosovo"
"2006-04-25";"Chile";"New Zealand";4;1;"Friendly";"Chile";FALSE;2006;"Chile"
"2006-04-27";"Chile";"New Zealand";1;0;"Friendly";"Chile";FALSE;2006;"Chile"
"2006-04-29";"Angola";"Mauritius";5;1;"COSAFA Cup";"Lesotho";TRUE;2006;"Angola"
"2006-04-29";"Lesotho";"Mozambique";0;0;"COSAFA Cup";"Lesotho";FALSE;2006;"draw"
"2006-04-30";"Lesotho";"Angola";1;3;"COSAFA Cup";"Lesotho";FALSE;2006;"Angola"
"2006-04-30";"Mauritius";"Mozambique";0;0;"COSAFA Cup";"Lesotho";TRUE;2006;"draw"
"2006-05-01";"Jersey";"Guernsey";3;2;"Friendly";"Jersey";FALSE;2006;"Jersey"
"2006-05-02";"Poland";"Lithuania";0;1;"Friendly";"Poland";FALSE;2006;"Lithuania"
"2006-05-02";"United Arab Emirates";"Syria";2;1;"Friendly";"United Arab Emirates";FALSE;2006;"United Arab Emirates"
"2006-05-05";"Mexico";"Venezuela";1;0;"Friendly";"United States";TRUE;2006;"Mexico"
"2006-05-09";"Japan";"Bulgaria";1;2;"Kirin Cup";"Japan";FALSE;2006;"Bulgaria"
"2006-05-10";"Lesotho";"South Africa";0;0;"Friendly";"Lesotho";FALSE;2006;"draw"
"2006-05-10";"Trinidad and Tobago";"Peru";1;1;"Friendly";"Trinidad and Tobago";FALSE;2006;"draw"
"2006-05-11";"Belgium";"Saudi Arabia";2;1;"Friendly";"Netherlands";TRUE;2006;"Belgium"
"2006-05-11";"Bulgaria";"Scotland";1;5;"Kirin Cup";"Japan";TRUE;2006;"Scotland"
"2006-05-12";"Mexico";"DR Congo";2;1;"Friendly";"Mexico";FALSE;2006;"Mexico"
"2006-05-13";"Japan";"Scotland";0;0;"Kirin Cup";"Japan";FALSE;2006;"draw"
"2006-05-14";"Botswana";"Zambia";0;0;"Friendly";"Botswana";FALSE;2006;"draw"
"2006-05-14";"Poland";"Faroe Islands";4;0;"Friendly";"Poland";FALSE;2006;"Poland"
"2006-05-14";"Saudi Arabia";"Togo";1;0;"Friendly";"Netherlands";TRUE;2006;"Saudi Arabia"
"2006-05-18";"Moldova";"Azerbaijan";0;0;"Friendly";"Moldova";FALSE;2006;"draw"
"2006-05-20";"Botswana";"Madagascar";2;0;"COSAFA Cup";"Botswana";FALSE;2006;"Botswana"
"2006-05-20";"Guadeloupe";"Saint Lucia";2;1;"Friendly";"Guadeloupe";FALSE;2006;"Guadeloupe"
"2006-05-20";"Slovakia";"Belgium";1;1;"Friendly";"Slovakia";FALSE;2006;"draw"
"2006-05-20";"South Africa";"Eswatini";1;0;"COSAFA Cup";"Botswana";TRUE;2006;"South Africa"
"2006-05-21";"Botswana";"South Africa";0;0;"COSAFA Cup";"Botswana";FALSE;2006;"draw"
"2006-05-21";"Madagascar";"Eswatini";0;2;"COSAFA Cup";"Botswana";TRUE;2006;"Eswatini"
"2006-05-21";"Northern Ireland";"Uruguay";0;1;"Friendly";"United States";TRUE;2006;"Uruguay"
"2006-05-21";"Basque Country";"Wales";0;1;"Friendly";"Spain";FALSE;2006;"Wales"
"2006-05-23";"Austria";"Croatia";1;4;"Friendly";"Austria";FALSE;2006;"Croatia"
"2006-05-23";"South Korea";"Senegal";1;1;"Friendly";"South Korea";FALSE;2006;"draw"
"2006-05-23";"Romania";"Uruguay";0;2;"Friendly";"United States";TRUE;2006;"Uruguay"
"2006-05-23";"USA";"Morocco";0;1;"Friendly";"United States";FALSE;2006;"Morocco"
"2006-05-24";"Belgium";"Turkey";3;3;"Friendly";"Belgium";FALSE;2006;"draw"
"2006-05-24";"Colombia";"Ecuador";1;1;"Friendly";"United States";TRUE;2006;"draw"
"2006-05-24";"Hungary";"New Zealand";2;0;"Friendly";"Hungary";FALSE;2006;"Hungary"
"2006-05-24";"Republic of Ireland";"Chile";0;1;"Friendly";"Republic of Ireland";FALSE;2006;"Chile"
"2006-05-24";"Norway";"Paraguay";2;2;"Friendly";"Norway";FALSE;2006;"draw"
"2006-05-24";"Catalonia";"Costa Rica";2;0;"Friendly";"Spain";FALSE;2006;"Catalonia"
"2006-05-25";"Australia";"Greece";1;0;"Friendly";"Australia";FALSE;2006;"Australia"
"2006-05-25";"Sweden";"Finland";0;0;"Friendly";"Sweden";FALSE;2006;"draw"
"2006-05-26";"Czech Republic";"Saudi Arabia";2;0;"Friendly";"Austria";TRUE;2006;"Czech Republic"
"2006-05-26";"South Korea";"Bosnia and Herzegovina";2;0;"Friendly";"South Korea";FALSE;2006;"South Korea"
"2006-05-26";"Romania";"Northern Ireland";2;0;"Friendly";"United States";TRUE;2006;"Romania"
"2006-05-26";"Turkey";"Ghana";1;1;"Friendly";"Germany";TRUE;2006;"draw"
"2006-05-26";"USA";"Venezuela";2;0;"Friendly";"United States";FALSE;2006;"USA"
"2006-05-27";"Denmark";"Paraguay";1;1;"Friendly";"Denmark";FALSE;2006;"draw"
"2006-05-27";"France";"Mexico";1;0;"Friendly";"France";FALSE;2006;"France"
"2006-05-27";"Georgia";"New Zealand";1;3;"Friendly";"Germany";TRUE;2006;"New Zealand"
"2006-05-27";"Germany";"Luxembourg";7;0;"Friendly";"Germany";FALSE;2006;"Germany"
"2006-05-27";"Netherlands";"Cameroon";1;0;"Friendly";"Netherlands";FALSE;2006;"Netherlands"
"2006-05-27";"Portugal";"Cape Verde";4;1;"Friendly";"Portugal";FALSE;2006;"Portugal"
"2006-05-27";"Romania";"Colombia";0;0;"Friendly";"United States";TRUE;2006;"draw"
"2006-05-27";"Serbia";"Uruguay";1;1;"Friendly";"Serbia and Montenegro";FALSE;2006;"draw"
"2006-05-27";"Spain";"Russia";0;0;"Friendly";"Spain";FALSE;2006;"draw"
"2006-05-27";"Switzerland";"Ivory Coast";1;1;"Friendly";"Switzerland";FALSE;2006;"draw"
"2006-05-27";"Wales";"Trinidad and Tobago";2;1;"Friendly";"Austria";TRUE;2006;"Wales"
"2006-05-28";"Croatia";"IR Iran";2;2;"Friendly";"Croatia";FALSE;2006;"draw"
"2006-05-28";"North Macedonia";"Ecuador";2;1;"Friendly";"Spain";TRUE;2006;"North Macedonia"
"2006-05-28";"Morocco";"Mali";0;1;"Friendly";"France";TRUE;2006;"Mali"
"2006-05-28";"Turkey";"Estonia";1;1;"Friendly";"Germany";TRUE;2006;"draw"
"2006-05-28";"Ukraine";"Costa Rica";4;0;"Friendly";"Ukraine";FALSE;2006;"Ukraine"
"2006-05-28";"USA";"Latvia";1;0;"Friendly";"United States";FALSE;2006;"USA"
"2006-05-29";"Jamaica";"Ghana";1;4;"Friendly";"England";TRUE;2006;"Ghana"
"2006-05-29";"Northern Cyprus";"Greenland";1;0;"FIFI Wild Cup";"Germany";TRUE;2006;"Northern Cyprus"
"2006-05-29";"Republic of St. Pauli";"Gibraltar";1;1;"FIFI Wild Cup";"Germany";FALSE;2006;"draw"
"2006-05-30";"Argentina";"Angola";2;0;"Friendly";"Italy";TRUE;2006;"Argentina"
"2006-05-30";"Chile";"Ivory Coast";1;1;"Friendly";"France";TRUE;2006;"draw"
"2006-05-30";"Czech Republic";"Costa Rica";1;0;"Friendly";"Czech Republic";FALSE;2006;"Czech Republic"
"2006-05-30";"England";"Hungary";3;1;"Friendly";"England";FALSE;2006;"England"
"2006-05-30";"Germany";"Japan";2;2;"Friendly";"Germany";FALSE;2006;"draw"
